timestamp;src_ip;src_port;dst_ip;dst_port;packets;protocol
17/10/2016 15:35;82.117.210.158;33551;217.24.20.5;123;2;17
17/10/2016 15:35;109.245.32.164;47160;217.24.20.5;123;2;17
17/10/2016 15:35;109.245.14.42;41;217.24.20.5;123;2;17
17/10/2016 15:35;109.122.124.218;45699;217.24.20.5;123;2;17
17/10/2016 15:35;93.86.237.72;20405;217.24.20.5;123;2;17
17/10/2016 15:35;178.148.9.13;43380;217.24.20.5;123;2;17
17/10/2016 15:35;192.168.11.16;51611;130.211.90.193;7000;1;6
17/10/2016 15:35;178.221.12.193;42086;217.24.20.5;123;2;17
17/10/2016 15:35;192.168.11.16;51611;130.211.90.193;7000;1;6
17/10/2016 15:35;79.101.211.139;35649;217.24.20.5;123;2;17
17/10/2016 15:35;178.22.218.216;47286;217.24.20.5;123;2;17
17/10/2016 15:35;84.22.34.111;53668;217.24.20.5;123;2;17
17/10/2016 15:35;212.200.65.242;10896;217.24.20.5;123;2;17
17/10/2016 15:35;109.121.94.190;36621;217.24.20.5;123;2;17
17/10/2016 15:35;216.58.209.162;443;192.168.14.32;54407;1;6
17/10/2016 15:35;212.200.65.247;41251;217.24.20.5;123;2;17
17/10/2016 15:35;109.92.144.194;58631;217.24.20.5;123;2;17
17/10/2016 15:35;178.148.60.39;59313;217.24.20.5;123;2;17
17/10/2016 15:35;109.245.14.42;41;217.24.20.5;123;2;17
17/10/2016 15:35;93.87.194.123;27201;217.24.20.5;123;2;17
17/10/2016 15:35;192.168.10.65;64442;188.120.127.101;443;4;6
17/10/2016 15:35;87.116.189.5;3821;217.24.20.5;123;2;17
17/10/2016 15:35;62.4.57.86;38590;217.24.20.5;123;2;17
17/10/2016 15:35;192.168.1.115;1234;192.168.14.38;51550;1;6
17/10/2016 15:35;178.221.6.200;2157;217.24.20.5;123;2;17
17/10/2016 15:35;79.101.90.34;38161;217.24.20.5;123;2;17
17/10/2016 15:35;192.168.1.115;1234;192.168.17.240;64833;1;6
17/10/2016 15:35;192.168.1.115;1234;192.168.13.23;51583;1;6
17/10/2016 15:36;178.222.99.55;52502;217.24.20.5;123;2;17
17/10/2016 15:36;93.86.93.96;56202;217.24.20.5;123;2;17
17/10/2016 15:36;178.220.211.168;51144;217.24.20.5;123;2;17
17/10/2016 15:36;178.221.150.113;57904;217.24.20.5;123;2;17
17/10/2016 15:36;192.168.1.115;1234;192.168.14.34;49466;1;6
17/10/2016 15:36;212.200.65.245;42863;217.24.20.5;123;2;17
17/10/2016 15:36;109.245.14.42;41;217.24.20.5;123;2;17
17/10/2016 15:36;5.134.110.72;12355;217.24.20.5;123;2;17
17/10/2016 15:36;109.245.34.212;39927;217.24.20.5;123;2;17
17/10/2016 15:36;192.168.1.115;1234;192.168.17.237;55494;1;6
17/10/2016 15:36;79.175.88.131;22738;217.24.20.5;123;2;17
17/10/2016 15:36;178.223.38.177;43009;217.24.20.5;123;2;17
17/10/2016 15:36;192.168.1.115;1234;192.168.13.37;49935;1;6
17/10/2016 15:36;192.168.1.115;1234;192.168.17.239;49870;1;6
17/10/2016 15:36;192.168.1.115;1234;192.168.12.35;53090;1;6
17/10/2016 15:36;192.168.1.115;1234;192.168.14.32;55224;1;6
17/10/2016 15:36;212.200.65.245;17176;217.24.20.5;123;2;17
17/10/2016 15:36;192.168.1.115;1234;192.168.17.236;58500;1;6
17/10/2016 15:36;192.168.1.115;1234;192.168.14.24;64344;1;6
17/10/2016 15:36;192.168.1.115;1234;192.168.17.222;54262;1;6
17/10/2016 15:36;192.168.1.115;1234;192.168.17.227;64168;1;6
17/10/2016 15:36;109.245.14.42;41;217.24.20.5;123;2;17
17/10/2016 15:36;212.200.65.243;46353;217.24.20.5;123;2;17
17/10/2016 15:36;192.168.1.115;1234;192.168.11.34;54918;1;6
17/10/2016 15:36;178.148.112.160;54432;217.24.20.5;123;2;17
17/10/2016 15:36;217.24.20.10;80;212.200.210.227;54273;4;6
17/10/2016 15:36;192.168.1.115;1234;192.168.17.248;54859;1;6
17/10/2016 15:36;93.87.217.237;57731;217.24.20.5;123;2;17
17/10/2016 15:36;192.168.1.115;1234;192.168.13.15;50655;1;6
17/10/2016 15:36;89.216.194.128;53249;217.24.20.25;443;5861;6
17/10/2016 15:36;192.168.1.115;1234;192.168.14.35;52210;1;6
17/10/2016 15:36;217.24.20.10;80;212.200.210.227;54276;2;6
17/10/2016 15:36;192.168.1.115;1234;192.168.17.234;56180;1;6
17/10/2016 15:36;77.46.200.111;48283;217.24.20.5;123;2;17
17/10/2016 15:36;178.223.15.27;33301;217.24.20.5;123;2;17
17/10/2016 15:36;194.106.172.174;422;217.24.20.5;123;2;17
17/10/2016 15:36;91.150.125.94;29411;217.24.20.5;123;2;17
17/10/2016 15:36;109.245.14.42;41;217.24.20.5;123;2;17
17/10/2016 15:36;109.122.126.184;3128;217.24.20.5;123;2;17
17/10/2016 15:36;188.2.223.91;48732;217.24.20.5;123;2;17
17/10/2016 15:36;192.168.1.115;1234;192.168.13.23;52432;1;6
17/10/2016 15:36;192.168.1.115;1234;192.168.14.25;52674;1;6
17/10/2016 15:36;109.245.38.77;52237;217.24.20.5;123;2;17
17/10/2016 15:36;212.200.65.244;771;217.24.20.5;55924;1;1
17/10/2016 15:36;87.250.39.222;26415;217.24.20.5;123;2;17
17/10/2016 15:36;212.200.65.242;26148;217.24.20.5;123;2;17
